                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 4.9254,                 1.2923,                 1.1782,                0.57801,                0.24828,                0.29209,                0.13542,                 4.9269,                 1.2152,                 1.1805,             0.00097386,             0.00097386,             0.00097386
                     86,                 4.9184,                 1.3092,                 1.1843,                0.59023,                0.25149,                0.29816,                0.13823,                 4.9259,                 1.2107,                 1.1663,             0.00096561,             0.00096561,             0.00096561
                     87,                 4.9175,                 1.2819,                 1.1724,                0.56654,                0.25184,                 0.2968,                0.13749,                  4.906,                  1.215,                 1.1697,             0.00095736,             0.00095736,             0.00095736
                     88,                 4.8984,                 1.3001,                 1.1829,                0.54311,                0.24783,                0.28494,                0.12554,                 4.8664,                 1.2401,                 1.1893,             0.00094911,             0.00094911,             0.00094911
                     89,                  4.913,                 1.2728,                 1.1672,                0.58763,                0.24816,                0.29733,                0.13672,                 4.9208,                 1.2107,                 1.1728,             0.00094085,             0.00094085,             0.00094085
                     90,                 4.9124,                 1.2684,                 1.1571,                0.56608,                0.25263,                 0.2973,                0.13886,                 4.9047,                 1.1936,                 1.1561,              0.0009326,              0.0009326,              0.0009326
                     91,                 4.9028,                 1.2661,                 1.1584,                0.55564,                0.25162,                0.29553,                0.13169,                  4.841,                 1.2239,                 1.1777,             0.00092435,             0.00092435,             0.00092435
                     92,                 4.9014,                  1.252,                 1.1597,                0.58926,                0.25795,                0.30998,                0.14987,                 4.9424,                 1.1638,                 1.1355,              0.0009161,              0.0009161,              0.0009161
                     93,                 4.9046,                 1.2543,                 1.1526,                0.58877,                0.25688,                0.30623,                0.14362,                 4.8883,                 1.1777,                 1.1459,             0.00090785,             0.00090785,             0.00090785
                     94,                 4.9001,                 1.2461,                 1.1532,                0.58563,                0.26062,                0.30966,                0.14538,                  4.906,                 1.1738,                  1.146,              0.0008996,              0.0008996,              0.0008996
